`0x43001160`; `Sound Options`
`0x43003af2`; `You never were much in the kitchen.`
`0x43003af3`; `The game’s just changed. Focus guys!`
`0x43003af4`; `Right D - I’m getting the RDV now! Let’s boogie out of here!`
`0x43003af5`; `Juarez - please tell me the rest of the mansion’s quiet?`
`0x43003af6`; `Sorry D - the place is alive with signals.`
`0x43003af7`; `Great... Okay, everyone keep heading to the rendezvous. Blaster - how you doing?`
`0x43003af8`; `I’m in the elevator making my way to the RDV.`
`0x43003af9`; `Unit Three here... all clear in this sector.`
`0x43003afa`; `Roger that-we’ll continue our sweep of the area-over.`
`0x43003afb`; `All teams, stay close and everyone look alive now.`
`0x43003afe`; `Darwin, those speakers can do you some serious harm, you’ll need to get those blueprints before you can get past them.`
`0x43003aff`; `I’m doing my best guys!`
`0x43003b00`; `You’re doing great, Juarez. We all miss Specks - but we’ll manage... I'm almost out team.`
`0x43003b1b`; `Right... the schematics must have an error. I’ll double check. `
`0x43003b1c`; `Darwin - those barriers are closing in fast. Find a way out... now! `
`0x43003b27`; `Darwin, the torch is protected by shields, you’ll have to eliminate the satellites before you take it down. `
`0x43003b28`; `The torch missiles are designed to penetrate shields; try attracting its missiles towards the satellite barrier.`
`0x43003b29`; `Darwin, your weapons are no use.  You must attract one of the torch missiles to hit the satellite dish shield.  Only once all the satellite dishes are destroyed will the torch be vulnerable.`
`0x43003b2a`; `The barrier is down Darwin; time to take out that Torch!`
`0x43003b7b`; `Alright, move, move, move! Spread out through the house and look alive!`
`0x43003b7c`; `Huh?! What?`
`0x43003b7d`; `All units... we’re being attacked by a hostile... fan!`
`0x43003b7e`; `Unit 5 reporting... we’ve got hostile contact with... Saberling appliances.`
`0x43003b7f`; `Help! It’s after me!`
`0x43003b80`; `Contact!`
`0x43003b81`; `Okay - all units... Area clear! Be alert!`
`0x43003b82`; `I tell you, we throw away more food than Mr. Saber and his fancy friends eat.`
`0x43003b83`; `And all these appliances. The food practically cooks itself.`
`0x43003b84`; `Don't say that or we’ll be out of a job!`
`0x43003b85`; `Guys, hate to bother you. But I got a problem here. The elevator’s stopped cold, the door’s jammed and - I’m inside! You best go on without me.`
`0x43003b86`; `Command, we just took out... a paper shredder. Yeah - you heard me right - a shredder!`
`0x43003b88`; `Guys, I think my elevator ride is... over!`
`0x43003b89`; `Whoa, that was too close! Thanks for the rescue, Darwin. I owe you big time!`
`0x43003b8a`; `Forget it. You’d do the same for me.`
`0x43003b8b`; `Darwin - do I ever have a surprise for you.`
`0x43003b8c`; `Greetings, Darwin.`
`0x43003b8d`; `Speckles? What? I thought you were... what happened, old friend?`
`0x43003b8e`; `I adapted your plan for escape, Darwin, and managed with great difficulty to get out of that trash compactor in the, um, nick of time. But that’s a story for next time.`
`0x43003b8f`; `Understood Specks - great to have you back!`
`0x43003b90`; `As they say that is the good news; the bad is all of Saber's appliances have somehow become activated - each and every one. The place is alive with them.`
`0x43003b91`; `Any ideas?`
`0x43003b92`; `Yes - you have to get into the Central Computer and shut it down. And the best option is to head down to the basement by the laundry chute, and get past the heating hub. I’ll plot a course to guide you from there.`
`0x43003b93`; `Darwin - listen up! Ben says he has something that can help us. I’ll go rendezvous with him now!`
`0x43003b94`; `Not on my watch. Juarez, tell me how I can free Blaster! `
`0x43003b95`; `My scan shows that you can reach the control room at the end of the route you’re on. You should be able to free Blaster from there.`
`0x43003b96`; `Unit 5, status report? Unit 5, check in now! Unit 5 - what’s your situation!... Is anyone there?`
`0x43003b97`; `Sit-rep team?`
`0x43003b98`; `All set here to monitor your progress to the computer, Darwin.`
`0x43003b99`; `Listen up, D-I got some hot new gear from Ben and I’ll be with you in a New York minute!`
`0x43003b9a`; `Just don’t drop it.`
`0x43003b9b`; `And Darwin, keep us updated on your progress.`
`0x43003b9c`; `I’m eating now and, um, it’s going well. `
`0x43003b9d`; `Hurley - spare us, okay? `
`0x43003b9e`; `Surprise Mr D! Told you I’d be here. And look what I got for you!`
`0x43003b9f`; `It injects a SaberSense chip into an appliance. Turns them into crazy weapons!`
`0x43003ba0`; `And that’s good?`
`0x43003ba1`; `I'm sure you can figure it out, D!`
`0x43003ba2`; `Thanks - I guess...`
`0x43003ba3`; `Good luck with it, Darwin.`
`0x43003ba4`; `Darwin, I've just arrived on site. Where’s Blaster?`
`0x43003ba5`; `He’s on his way to rendezvous with you.`
`0x43003ba6`; `Yes, I was wondering if you could help me... yes... Where’s my taxi!`
`0x43003ba7`; `Five minutes is not good enough! Well let me tell you something Samantha, we have a big account with you... Like I care. Well fix it!`
`0x43003ba8`; `What the...? You have got to be kidding me...`
`0x43003ba9`; `Oh my... get 'em away from me... you... you... get 'em away... oh my... close the door... come on... come on!`
`0x43003baa`; `Okay, Speckles. I’m at the access door.`
`0x43003bab`; `Hang on... there. It should be open.`
`0x43003bac`; `You are a genius. Heading in!`
`0x43003bad`; `Okay Darwin - just hack in, and I will upload the virus!`
`0x43003bae`; `Roger Specks.`
`0x43003baf`; `This is it, Darwin. Bring ‘er down!`
`0x43003bb0`; `Wait a second! The system shows that it's still online. The virus didn’t work?`
`0x43003bb1`; `Aborting the mission! G-Force - everyone ex-fil!`
`0x43003bb2`; `Getting out - now!`
`0x43003bb3`; `Moving now Darwin!`
`0x43003bb4`; `Hurley, Hurley - come in Hurley?`
`0x43003bb5`; `Okay, okay - I was looking for something to eat. `
`0x43003bb6`; `Hurley - get out of there! `
`0x43003bb7`; `Okay, I'm leaving already!`
`0x43003bb8`; `Guys I... need some help... like now! `
`0x43003bb9`; `Somebody, anybody...`
`0x43003bba`; `I'm so done for...`
`0x43003bbb`; `Hey!`
`0x43003bbc`; `You should lose some weight, Porky.\n`
`0x43003bbd`; `Oh yeah! Piece of cake.`
`0x43003bbe`; `Let’s get out of here.`
`0x43003c95`; `Roger that—we’ll continue our sweep of the area—over.`
`0x43003c96`; `Blaster, you’ve been through there?`
`0x43003c97`; `Not my bad!`
`0x43003cad`; `Heating System Warning Lights: Heating hub is currently inaccessible due to dangerously high pressure.`
`0x43003cae`; `Heating System Warning Lights: Heating hub is now at normal levels.`
`0x43003cb2`; `Shut Off Valves: Used to control pressure levels within the buildings heating system`
`0x43003cbb`; `You have got to be kidding me.`
`0x43003d52`; `Rescue Blaster!`
`0x43003d6f`; `The Saberlizer is a prototype, and its effects on different appliances are unpredictable. So take care.`
`0x43003d70`; `Great - I love surprises.`
`0x43003d71`; `You know... I think it’s the beginning of a beautiful friendship...`
`0x43003d72`; `Good work, Darwin.`
`0x43003d73`; `Good to have you back, ole’ mole!`
`0x43003d74`; `And good... to be back. `
`0x43003d75`; `Okay. Now - I’m off to the Central Computer...`
`0x43003db0`; `You have got to be kidding me`
`0x43003db6`; `I’m getting a reading change for the room you’re in. Be careful Darwin.`
`0x43003fcf`; `Heating Pressure: CRITICAL`
`0x43003fd0`; `Heating Pressure: NORMAL`
`0x43003fdb`; `Valve Pressure: CRITICAL - pull to release`
`0x43003fdc`; `Valve Pressure: NORMAL`
`0x43004037`; `Computer Center Access`
`0x4300405f`; `Okay D - it looks like the blueprints are locked up in a safe somewhere on that floor. Keep your eyes open...`
`0x43004060`; `Hey D! There’s the safe. You gotta find a way to bust it open!`
`0x4300407a`; `(Improvised vocal reactions to the attacking waffle maker as both characters run through the door to escape)`
`0x4300407b`; `(Improvised vocal reactions to the attacking waffle maker as both characters run through the door to escape)`
`0x43004135`; `Computer Core Control Room`
`0x43004136`; `Secure Server Access`
`0x43004183`; `Saber's Safe: Safe door is very strong; a high powered beam may be able to destroy it.`
`0x4300356b`; `(talking over each other); Almost there.`
`0x4300356c`; `Just there, Darwin,`
`0x4300356d`; `Keep movin’, Darwin!`
`0x4300356e`; `Time to get this thing racing. Hang on.`
`0x4300356f`; `Do  I get to do that?`
`0x430035af`; `Everyone almost at the rendezvous point, team?`
`0x430035b0`; `Ready to rendezvous -- and rock n roll.`
`0x43003664`; `Okay, I made it inside the factory - where Saber makes his deadly toys and ships them in nice boxes worldwide.`
`0x43003666`; `Speckles, what’s my target?`
`0x43003667`; `Darwin - that’s a power core generator. The core generator powers devices all around the complex. You can attract and pull out the core using your Electro-Whip.`
`0x43003668`; `That’s another power core generator Darwin. If you pull the core out, you can use it to power up the socket on the conveyor.`
`0x4300366a`; `That’s a power core socket, Darwin. The sockets power devices all around the complex... but you’ll need to throw a power core inside to activate it.`
`0x4300366b`; `Go ahead, Darwin - now throw the power core right into the socket.`
`0x4300366e`; `Speckles, I'm in a jam here. No exit from this storage area. Any ideas?`
`0x4300366f`; `Yes... I can see a vent leading from one of the storage rooms. Use Mooch for a quick recon and locate the exit.`
`0x43003670`; `Mooch my man - stand by for your flying orders...`
`0x43003671`; `Okay, Speckles I’ve arrived at the main storage depot.`
`0x43003672`; `Good, the security feeds show offices just ahead. I can also see that the elevator is not working. Go see if you can get it up and running again.`
`0x43003673`; `Thanks for the heads-up, Speckles.`
`0x43003681`; `I’m on my way!`
`0x43003685`; `Okay, Darwin. Now that you have access to the production plant, you have to get into the machinery room and shut down the production machinery.`
`0x43003686`; `Copy that!`
`0x4300368f`; `Speckles, that might be risky - you’ll have to go back to the Core. That area is crawling with those appliances.`
`0x43003691`; `Juarez, can you confirm my target?`
`0x43003692`; `The entrance to the machinery room is dead ahead, Darwin. Leads right to the production facility. Get in there, and you should be good.`
`0x43003699`; `Hurley, I can see your position. Not too pretty! I'm on my way.`
`0x4300369a`; `Thanks Darwin!`
`0x4300369b`; `And Hurley? Don’t do anything... I mean anything! Just stay put...`
`0x4300369c`; `Hurley, the door’s locked. Juarez, gonna need another way in - and fast...`
`0x4300369d`; `I hear you. Scanning for an alternate point of ingress. Not sure I see anything...`
`0x4300369e`; `Hang in there, Hurley. If there's a way in, Darwin will find it!`
`0x4300369f`; `Wait I’m seeing a control room on the upper floor. You just might be able to open the door from there.`
`0x430036ab`; `OK Darwin, equip the Magnetic Grapple, it’s time for a field test.`
`0x430036ac`; `Aim the grapple right at that weaponized speaker unit you see up there on the ceiling. Just hold the fire button and you will be pulled toward the speaker.`
`0x430036ad`; `Excellent! Now you’re attached to the speaker you can switch freely to use your other weapons.`
`0x430036ae`; `You should be able to charge the jetpack while hanging from a speaker to reach new areas. Give it a try.`
`0x430036af`; `Thanks Juarez - those speakers are all over this place... gonna be really handy...`
`0x430036b2`; `Darwin, I’m getting some strange readings from your location. Energy fluctuations all over the place.`
`0x430036b3`; `A problem?`
`0x430036b4`; `I don’t know. But remember you have to power up the machinery to continue on the conveyor. And be careful.`
`0x430036b5`; `Yeah, careful D - cause you know Juarez really wants to see you again.`
`0x430036b6`; `Can it, Blaster!`
`0x430036b7`; `Okay Darwin, just checked and you have a tricky patch up ahead. You’ll have to activate all three power sockets to make the system overload.`
`0x430036b8`; `Got it.`
`0x430036bb`; `Great work, Darwin! You’ve overloaded the main constructor device... but now comes the hard part. You have to get to the chip production line and bring it down.`
`0x430036bc`; `Best way there?`
`0x430036bd`; `There's a cargo platform in the room opposite. That will bring you directly to chip production. But you need to work fast!`
`0x430036be`; `Speckles, what’s happening at the core?`
`0x430036bf`; `Still working on the virus... Saber has made some tricky modifications to the software. But I think I can crack it. Where are you now?`
`0x430036c0`; `Near the cargo platform, and ready to bring down the chip development area.`
`0x430036c1`; `Be careful Darwin-my scans aren’t showing me what you’ll find there.`
`0x430036c2`; `Stay tuned - I’ll let you know.`
`0x430036c3`; `You getting all this, Juarez?`
`0x430036c4`; `Darwin, that looks really dangerous. Be careful.`
`0x430036c5`; `Who knew washing machines were so complicated!`
`0x430036c6`; `I got a bad feeling about this. You sure there’s no way out of here?`
`0x430036c7`; `I’m looking...`
`0x430036c8`; `That was too close!`
`0x430036c9`; `The sky isn't falling but chunks of metal are!`
`0x430036ca`; `Oh great - somehow the appliances have found a way in here.`
`0x430036cb`; `Juarez, any clue what’s being manufactured around me?`
`0x430036cc`; `I’m checking on that...`
`0x430036cd`; `I think I'm... in the middle of a washing machine!`
`0x430036ce`; `This would be interesting if it wasn’t a trap!`
`0x430036cf`; `I'm running out of room here.`
`0x430036d0`; `Yes, it’s definitely a washing machine.`
`0x430036d1`; `Just don’t be inside when it gets turned on, D!`
`0x430036d2`; `I... think it’s done. And I’m okay!`
`0x430036d3`; `Great to hear, Darwin!`
`0x430036d4`; `And look at the plus side - now you know how they put washing machines together!`
`0x430036d5`; `Sit-rep guys. Blaster, any info on Saber?`
`0x430036d6`; `Still tracking him... but... we got some more company! The FBI is in the house!`
`0x430036d7`; `Stay out of their way, Blaster. Remember we’re working under deep cover here.`
`0x430036d8`; `You got it!`
`0x430036d9`; `Okay, Juarez - I’m at the chip production area. What do your scans show?`
`0x430036da`; `There are three phases in the chip production process, Darwin. You’ll have to shut them down in order, before you head onto the power generator.`
`0x430036db`; `Then that’s exactly what I’ll do sweet stuff. Heading to the first phase now...`
`0x430036dc`; `Darwin. Schematics show the next airlock close by. I’m working on locating it right now but first you need to shut down the first phase of production.`
`0x430036dd`; `I got a lock on Saber, Darwin. Won’t be long!`
`0x430036de`; `Great. And Juarez, you’re...`
`0x430036df`; `...Hold on... I think I'm about to experience a really close shave!`
`0x430036e0`; `Darwin, the scans here indicate that the robotic arms are made from some kind of strengthened alloy. You’ll have to use the Electro-Whip power attack to destroy them. That should shut down phase 1 of production.`
`0x430036e5`; `Great work Darwin - I’m showing you have the second phase of chip production stopped. Only one more to go.`
`0x430036e6`; `Okay - stay with me!`
`0x430036f5`; `Down to your last objective there, Darwin.`
`0x430036f6`; `Yeah, D... it’s showtime!`
`0x430036f7`; `The laser cutters are shielded by dampening equipment. You’ll have to deactivate them first. Once done you’ll need to use a high power beam to destroy them. Your Saberlizer will probably come in handy!`
`0x430036f8`; `It’s my new best friend...`
`0x430036f9`; `Darwin, just remember - you need to bring down the whole chip production operation before you leave.`
`0x430036fa`; `Chip production all destroyed. Gonna be impossible for Saber to put this mess back together..`
`0x430036fb`; `Next, you have to destroy the main generator. I'm still getting data on the layout there.`
`0x430036fc`; `Good - I’ll go there and get into position. Blaster, any news on Saber?`
`0x430036fd`; `Been tracking his signals. And I think I’m getting close.`
`0x430036fe`; `Close the deal, Blaster.`
`0x430036ff`; `Hey guys the machinery here is deactivated... got any quick ideas how I can get it working manually?`
`0x43003700`; `Come on D - this is old-school. You remember our cardio training, all those hours in the wheel? You just gotta start using your legs!`
`0x43003708`; `Okay team. I’ve activated that first turbine... moving onto number two, now.`
`0x43003709`; `Got a bit of problem here - the power core’s gone AWOL!`
`0x4300370a`; `You gotta fix that before the second turbine is good to go.`
`0x4300370b`; `Got it.`
`0x4300370c`; `Okay - good news - second turbine’s activated, and things are heating up!`
`0x4300370d`; `Darwin - we better plan your safe exfil before you start the last turbine.`
`0x4300370e`; `It’s going to get crazy hot in there, D. Me and Juarez got an idea. Though mostly it’s mine.`
`0x4300370f`; `Okay - I’m all ears.`
`0x43003710`; `When that system overheats it will trigger an emergency evac hatch to open. Once it does -`
`0x43003711`; `You jump out - and down, Darwin. Gonna be a big drop! Sounds like a blast!`
`0x43003712`; `And sounds like my only option.`
`0x43003715`; `All three turbines up and running, and the temp is shooting through the roof.`
`0x43003716`; `Right - and the emergency cooling system has kicked in Darwin;`
`0x43003717`; `Okay - the cooling system’s iced. Pretty sight. Wish you were here.`
`0x43003718`; `Attention... Power overload is imminent. Repeat. Power overload is imminent. Please evacuate this area immediately.`
`0x4300371b`; `Thanks for the warning…racing now!`
`0x4300371c`; `Darwin, I found Saber. He was just here... but he’s on the move again. Looks like we are not the only team getting close.`
`0x4300371d`; `The FBI? I’ll see if I can get video feed! Nice work, Furball!`
`0x4300371e`; `Darwin, remember you need to get the power core into the socket first.`
`0x430037da`; `Lock onto the socket by holding L2 and then press R2 to throw the core into it.`
`0x430038b9`; `Darwin - I’m getting extremely high radiation readings from that liquid.`
`0x430038ba`; `Confirmed. I’ll keep my paws out of it... don’t worry.`
`0x430038c9`; `You got to hurry, Darwin! Get back to the main assembly hub.`
`0x430038ca`; `I know. Any word from Speckles?`
`0x430038ce`; `Darwin, to get into the complex, make your way to the Main Assembly area. That conveyor should take you there, but you need to find some way of turning it on.`
`0x430038cf`; `Nice going D - those were some sweet moves!`
`0x430038d0`; `I've got a lock on Hurley's position. You need to use the Cargo Tram, it'll take you to him.`
`0x430038d1`; `You did it Darwin - you are amazing! The door's open!`
`0x430038f2`; `Darwin! I had the monorail schematics open and then... they just disappeared!`
`0x430038f3`; `Who... what just happened? I had the building layout on my headset... and it vanished! What’s going on?`
`0x430038f4`; `Darwin... this is very weird. I'm at the Computer Core. But it looks like... all the files have just been erased!`
`0x430038f5`; `Got to be Saber! The maniac’s anticipating every single move we make! And now he just wiped the plans off the core’s hard drive? Speckles, Juarez... keep looking for backup files.`
`0x430038f6`; `Will do.`
`0x430038f7`; `Of course I will, Darwin`
`0x430038f8`; `Juarez I've hacked into the first monorail. This baby’s going nowhere.`
`0x430038f9`; `Great - head to the second station. I'm still working on your route out.`
`0x430038fa`; `Got the elevator powered up.`
`0x430038fc`; `I’m approaching the third turbine now. Looks like it needs powering up too .`
`0x430038fd`; `Check around that level Darwin - there should be a Power Core generator nearby.`
`0x430039d5`; `Okay Darwin, I’m afraid you won’t be able to get through that door until the machinery below it is completely stopped. The only way to access the power core controlling it is through the air venting system... so guess it’s a job for Mooch.`
`0x43003a3f`; `Chip Production Phase 1`
`0x43003a40`; `Chip Production Phase 2`
`0x43003a41`; `Chip Production Phase 3`
`0x43003a43`; `Airlock 1`
`0x43003a44`; `Airlock 2`
`0x43003a45`; `Airlock 3`
`0x43003a46`; `Security Station 1`
`0x43003a47`; `To Power Generator`
`0x43003a48`; `To Security Room and Chip Production Phase 1`
`0x43003a49`; `Security Station 2`
`0x43003a4a`; `Security Station 3`
`0x43003a4b`; `To Chip Production Phase 3`
`0x43003a65`; `Online`
`0x43003a66`; `Offline`
`0x43003b01`; `That’s the Power Core in place.`
`0x43003b02`; `Good work Darwin, get to the activation lever and power up the second turbine.`
`0x43003b03`; `I have the final Power Core in place.`
`0x43003b04`; `Its going to get hot in there Darwin. Give that lever a pull.`
`0x43003bc2`; `Alright, Juarez. I’m at the production computer and you should be getting the factory plans now!`
`0x43003bc3`; `Coming though fine! Just stand by for another minute.`
`0x43003bc4`; `Looking at this... I see a plan. Best deal with the immediate threat first. Stop the shipping of the appliances... then their production. And after that... make sure that no more microchips get made.`
`0x43003bc5`; `Sounds good, Darwin.`
`0x43003bc6`; `Juarez, the button to stop the monorail is smashed. Can you find me another way?`
`0x43003bc7`; `Hold on... got one! You’ve got to get to the monorails themselves. Opening the access doors now.`
`0x43003bc8`; `You’re a star... making my way there now!`
`0x43003bcb`; `Nice... Okay, Juarez - both monorails shut down. No more shipments getting out of this plant. Tell me - have you gained access to the production facility?\n`
`0x43003bcc`; `Almost got it!`
`0x43003bcd`; `Good - gonna need that soon! Blaster, sit-rep amigo?`
`0x43003bce`; `I think I have a line on Saber, the man himself. Won’t be long, Darwin. He’s close!`
`0x43003bcf`; `Good work guys, Keep me updated! Speckles - you at the core yet?`
`0x43003bd0`; `Almost there, Darwin. And this time I think I can get the virus to work.`
`0x43003bd1`; `Darwin, I got it. I’m showing clear access to the production facility. I should be able to guide you straight through. But you better get moving - there may be heavy security backup.`
`0x43003bd9`; `Sorry-had a bit of distraction there.`
`0x43003bda`; `Found something interesting - the plans show a R&D lab in the east wing. Looks like they were working on some kind of magnetic grapple...`
`0x43003bdb`; `I could use that but I need you to hold position. Hurley - you’re going to have to get it for me.`
`0x43003bdc`; `Really? Me? My first G-Force mission!`
`0x43003bdd`; `Juarez, download the schematics to him... now get moving Hurley!`
`0x43003bde`; `And Darwin - I just hacked in and opened the door to the monorail control room!`
`0x43003bdf`; `Great work, Juarez!`
`0x43003be0`; `Er, Darwin... I found the grapple!`
`0x43003be1`; `Hey, not bad Hurley, not... bad. Now bring it right to me asap.`
`0x43003be2`; `Thanks Darwin... But I got, um, update. I’m having a bit of a problem here... Actually, I think it’s more than a bit... Help!!!`
`0x43003be3`; `Hurley... don’t move! I’ll get your position and get to you as fast as I can.`
`0x43003be4`; `Faster would be better! Not that I mean to rush you.`
`0x43003be5`; `Just hang in there, Hurley.`
`0x43003be6`; `Boy, am I glad to see you.`
`0x43003be7`; `Glad you’re okay too.`
`0x43003be8`; `Here you go...`
`0x43003be9`; `Now - get back to Juarez and fast. Unless you want to play some more with the waffle irons...`
`0x43003bea`; `Say no more amigo!`
`0x43003bf0`; `Now that was close. I almost became a part of the rinse cycle!`
`0x43003bf1`; `Glad you’re okay. You had us worried there.`
`0x43003bf2`; `I want to go on that ride, D! That had to be fun!`
`0x43003bf3`; ` You can do it next time, Blaster!`
`0x43003bf4`; `Good you made it through okay, Darwin. Where do you go now?`
`0x43003bf5`; `Now... on to the microchip production.`
`0x43003bf9`; `Juarez could you-`
`0x43003bfa`; `You read my mind. Thanks!`
`0x43003bfb`; `I just hope that door holds up!`
`0x43003bfc`; `That’s one angry shredder - but the reinforced glass is holding. Got some scientists inside and they’re cornered. Can you patch me into them?`
`0x43003bfd`; `Hold on... okay, they should hear you over the speaker.`
`0x43003bfe`; `Um, hello. This is Special Security Agent, er, Darwin. You okay in there?`
`0x43003bff`; `For now, yes. But we’re trapped!`
`0x43003c00`; `Thanks to your bright idea. You thought all this was a problem with my chips. We know different now don’t we...`
`0x43003c01`; `Okay... don't worry. I’ll get to a position where I can help. You two just hang tight.`
`0x43003c03`; `Er, hi. You okay in there?`
`0x43003c04`; `Agent Darwin? No, decidedly not ok, you could say "out of the frying pan into the fire"...`
`0x43003c05`; `They’re worse than pitbulls. Of course, he likes pitbulls!`
`0x43003c06`; `Um right - I hear you. I’m part of a team working on that. But can you tell me another way around this area? I can’t get through the airlock.`
`0x43003c07`; `Hmmm... No, there isn’t one - that airlock is the only way.`
`0x43003c08`; `Yeah... unless you re-route the pneumatic tubing to get past the airlock... but you'd have to be the size of a guinea pig to fit in that tube! Good luck with that!`
`0x43003c09`; `Um thanks...`
`0x43003c0b`; `Yes. Stay right there for now. I'll be sure to let... the SWAT team know that you're here.`
`0x43003c0c`; `Did you just-`
`0x43003c0d`; `What the...?`
`0x43003c0e`; `Um, I didn’t see it... if you didn’t!`
`0x43003c0f`; `Okay Juarez - got another problem here. I can’t access the third airlock. Any alternates?`
`0x43003c10`; `I can’t see another way. I think you best get to the security room and look for an alternate once you’re there.`
`0x43003c18`; `Everyone almost at the rendezvous point?`
`0x43003c19`; `Already there!`
`0x43003c1c`; `Blaster, time to get this thing racing. `
`0x43003c98`; `Should we - we stay here until someone stops these shredders?`
`0x43003ca1`; `Double time it, Darwin. The overload is happening faster than I calculated!`
`0x43003ca2`; `Moving out now!`
`0x43003ca6`; `Good. Heading back to the main chamber to take it out.`
`0x43003cbc`; `Alright, the first part of the chip production process has been totally trashed. Not bad...`
`0x43003cbd`; `Great-I have that second airlock open and all ready for you. Now onto the second production phase.`
`0x43003cbe`; `On my way now!`
`0x43003cbf`; `Okay... entering the primary generator sector now. How do we shut this monster down for good?`
`0x43003cc0`; `Here’s an idea. If you overload the generator you’ll send it into a meltdown state; that should do the trick.`
`0x43003cc1`; `Check me on this... the plans show three turbines feeding into the generator, right? So... If I get all of them running at once, the whole place will get mighty ‘hot’ and fast!`
`0x43003cc2`; `I’m not sure about that, Darwin. Could be too dangerous... you might not have enough time to get out of there. `
`0x43003cc3`; `You’ll need a speedy exfil for sure. I’ll get Blaster working on that now!`
`0x43003cc4`; `You know me! I'm all over it.`
`0x43003cc5`; `Don’t remind me.`
`0x43003cc6`; `Warning. Entering the machine processing area. Extreme danger ahead.`
`0x43003cc7`; `Woah-h. What just happened? I'm heading to machine processing.`
`0x43003cc8`; `Ready to rock n roll, D!`
`0x43003cc9`; `Yeeeehaaaa!!!`
`0x43003cca`; `Okay, I’m on my way to chip manufacturing.`
`0x43003d28`; `We’re gonna tear the house down, D!`
`0x43003d29`; `Darwin - you have to get into the depot offices. Then hack into one of the production computers to get the factory plans. Power up the conveyor belt - it’s the easiest way in.`
`0x43003d2a`; `I’m on it.`
`0x43003d2e`; `Can everyone give me an update?`
`0x43003d2f`; `Okay Darwin - I’m at Saber’s office and I have his laptop.`
`0x43003d30`; `Great work - see if you can hack in.`
`0x43003d31`; `Hey Juarez - send me an IM!`
`0x43003d32`; `Like ‘get lost’?`
`0x43003d33`; `Listen. I can help Juarez.`
`0x43003d34`; `What do you mean Speckles?`
`0x43003d35`; `If I can link Saber’s laptop to the Main Computer Core, we’ll have total access to Saber’s files.`
`0x43003d36`; `I know. Just wish me luck.`
`0x43003d37`; `Speckles - wait! Speckles?`
`0x43003d38`; `He’s gone, Darwin.`
`0x43003d39`; `Excellent. The office containing the plans is on the first floor.`
`0x43003d76`; `Um, you got it... nowhere to go anyway!`
`0x43003d77`; `Grapple’s gonna come in handy here.`
`0x43003d78`; `I'm here at the core, Darwin. Starting to work on the virus now.`
`0x43003d79`; `Great. We’re still on track to bring this place down... so let’s do it.`
`0x43003db9`; `Attention - Monorail One is now ready for departure. Station doors now opening.`
`0x43003dba`; `Attention: departure of all monorails has been cancelled.`
`0x43003dbb`; `Specks, I need a route through to the cargo hold.`
`0x43003dbc`; `The cargo lines can be reversed by switching the Power Cores. Try taking the Power Core out of one Socket and placing it in the other.`
`0x43003dbd`; `Remember Mooch can also handle those Power Cores.`
`0x43003dbe`; `Excellent work Darwin - you now have a free ride into the hold.`
`0x43003dbf`; `The monorail shipment for New York and all points east is now ready for departure.`
`0x43003dc0`; `Monorail two is now departing.`
`0x43003dc1`; `Attention-the monorail for destinations in Japan and China is now ready for loading.`
`0x43003dc2`; `Please be alert when nearing the loading docks.`
`0x43003dc3`; `All Monorails are now loaded and ready for departure.`
`0x43003dc4`; `Alert-the Monorail for all shipments to the Southern Hemisphere will be arriving in ten minutes and 29 seconds.`
`0x43003dc5`; `All Monorails at the loading docks will now commence loading procedures.`
`0x43003dc6`; `Wow, looks like production is in full swing, Saber sure has been busy.`
`0x43003dc7`; `It certainly is an impressive sight. You’re going to have to hitch a ride to the opposite side of this hanger - that should lead you directly into the main Storage Depot and subsequently those factory plans.`
`0x43003fe7`; `Conveyor Engine`
`0x43003fe8`; `Terminal A`
`0x43003fe9`; `Terminal B`
`0x43004061`; `Security Code`
`0x4300406c`; `Those speakers are all over this place... gonna be really handy...`
`0x4300406d`; `Attention. Contaminant detected. Airlock sealed...`
`0x4300407c`; `Confirmed. Looks like I’ll have to take a back seat on this one.`
`0x4300409f`; `Nice... Okay, Juarez - both monorails shut down. No more shipments getting out of this plant.`
`0x430040a0`; `Tell me - have you gained access to the production facility?`
`0x43004158`; `To Production Office`
`0x4300417e`; `Emergency Cooling System`
`0x4300417f`; `Production Power Generator`
`0x43004180`; `Turbine 1`
`0x43004181`; `Turbine 2`
`0x43004182`; `Turbine 3`
`0x430041bf`; `Faster would be better!`
`0x4300431f`; `Not that I mean to rush you.`
`0x4300433a`; `Emergency Evacuation Hatch: Will only open when power generator temerature reaches critical levels.`
`0x430043a6`; `Blueprint Safe: The door could be destroyed by a high energy laser beam.`
`0x430043a7`; `Saberling Central Server Console: This console allows access to the entire Saberling computer network.`
`0x430043a8`; `Access Platform (Active): The platform is now mobile and will provide access to different levels of the Generator complex.`
`0x430043a9`; `Access Platform (Inactive): The access platform is currently inactive but will activate when the Generator temperature increases.`
`0x430043aa`; `Airlock Door (Locked): This door is locked and cannot be opened.`
`0x430043ac`; `Robotic Assembly Arm: This robotic arm is fully operational.`
`0x430043ad`; `Robotic Assembly Arm (Destroyed): This robotic arm has been destroyed and rendered completely inoperable.`
`0x430043ae`; `Robotic Assembly Arm: This robotic arm is operational but can be destroyed with an Electro-Whip Power Attack.\n`
`0x430043af`; `Robotic Assembly Arm: This robotic arm has no power but can be driven by a nearby gear wheel.`
